Geneid,Chr,Start,End,Strand,Length
YMR047C,XIII,363364,366705,-,3342
YMR048W,XIII,366981,367934,+,954
YMR049C,XIII,368094,370517,-,2424
tV(AAC)M1,XIII,372445,372518,-,74
YMR050C,XIII;XIII,373057;377021,377019;378325,-;-,5268
YMR051C,XIII,377003,378325,-,1323
tW(CCA)M,XIII;XIII,379303;379373,379338;379408,-;-,72
YMR052W,XIII,379586,380200,+,615
YMR052C-A,XIII,380069,380434,-,366
YMR053C,XIII,380346,382898,-,2553
YMR054W,XIII,383303,385975,+,2673
YMR055C,XIII,386101,387021,-,921
YMR056C,XIII,387315,388244,-,930
YMR057C,XIII,388359,388730,-,372
YMR058W,XIII,388822,390732,+,1911
YMR059W,XIII,391099,391485,+,387
YMR060C,XIII,391532,392515,-,984
YMR061W,XIII,392755,394788,+,2034
YMR062C,XIII,395054,396379,-,1326
YMR063W,XIII,397077,397796,+,720
YMR064W,XIII,397903,399459,+,1557
YMR065W,XIII,399702,401216,+,1515
YMR066W,XIII,401541,404237,+,2697
YMR067C,XIII,404323,405573,-,1251
YMR068W,XIII,406304,407584,+,1281
YMR069W,XIII,407709,408566,+,858
YMR070W,XIII,409154,410626,+,1473
YMR071C,XIII,410762,411265,-,504
YMR072W,XIII,411569,412120,+,552
YMR073C,XIII,412268,412873,-,606
YMR074C,XIII,413036,413473,-,438
YMR075W,XIII,413982,416036,+,2055
YMR075C-A,XIII,415688,416053,-,366
YMR076C,XIII,416196,420029,-,3834
tV(AAC)M2,XIII,420588,420661,-,74
YMR077C,XIII,421484,422149,-,666
YMR078C,XIII,422503,424728,-,2226
YMR079W,XIII;XIII,424989;425154,424997;426059,+;+,915
YMR080C,XIII,426712,429627,-,2916
YMR081C,XIII,430079,431095,-,1017
YMR082C,XIII,431769,432125,-,357
YMR083W,XIII,434788,435915,+,1128
YMR084W,XIII,436628,437416,+,789
YMR085W,XIII,437491,438789,+,1299
YMR086W,XIII,439208,442090,+,2883
YMR086C-A,XIII,442026,442364,-,339
YMR087W,XIII,442527,443381,+,855
YMR088C,XIII,443414,445102,-,1689
YMR089C,XIII,445609,448086,-,2478
YMR090W,XIII,449245,449928,+,684
YMR091C,XIII,450058,451365,-,1308
YMR092C,XIII,451632,453479,-,1848
YMR093W,XIII,454015,455556,+,1542
YMR094W,XIII,455825,457261,+,1437
YMR095C,XIII,457285,457959,-,675
YMR096W,XIII,458408,459301,+,894
YMR097C,XIII,459424,460527,-,1104
YMR098C,XIII,460771,462609,-,1839
tD(GUC)M,XIII,463554,463625,+,72
YMR099C,XIII,463934,464827,-,894
YMR100W,XIII,466300,468162,+,1863
YMR101C,XIII,468445,469476,-,1032
YMR102C,XIII,469848,472352,-,2505
YMR103C,XIII,472902,473264,-,363
YMR104C,XIII,473420,475453,-,2034
YMR105C,XIII,475897,477606,-,1710
YMR105W-A,XIII,478064,478258,+,195
YMR106C,XIII,478301,480190,-,1890
tK(CUU)M,XIII,480621,480693,-,73
YMR107W,XIII,483014,483361,+,348
YMR108W,XIII,484084,486147,+,2064
YMR109W,XIII,486587,490246,+,3660
YMR110C,XIII,490394,491992,-,1599
YMR111C,XIII,492404,493792,-,1389
YMR112C,XIII,494100,494495,-,396
YMR113W,XIII,494999,496282,+,1284
YMR114C,XIII,496343,497449,-,1107
YMR115W,XIII,497704,499209,+,1506
YMR116C,XIII;XIII,499456;500152,499878;500688,-;-,960
snR24,XIII,499984,500072,-,89
YMR117C,XIII,501250,501891,-,642
YMR118C,XIII,502144,502734,-,591
tL(CAA)M,XIII;XIII,504895;504965,504932;505008,+;+,82
YMR119W,XIII,505333,507207,+,1875
YMR119W-A,XIII,506996,507370,+,375
YMR120C,XIII,507502,509280,-,1779
YMR121C,XIII,509734,510348,-,615
YMR122C,XIII,510701,511075,-,375
YMR122W-A,XIII,511315,511569,+,255
YMR123W,XIII,513593,513961,+,369
YMR124W,XIII,514456,517287,+,2832
YMR125W,XIII;XIII,517539;517886,517563;520446,+;+,2586
YMR126C,XIII,520761,521789,-,1029
YMR127C,XIII,522329,523345,-,1017
YMR128W,XIII,523696,527499,+,3804
YMR129W,XIII,527804,531817,+,4014
YMR130W,XIII,532119,533027,+,909
YMR131C,XIII,533163,534698,-,1536
YMR132C,XIII,534944,535570,-,627
YMR133W,XIII;XIII,536207;537565,537448;537609,+;+,1287
YMR134W,XIII,537838,538551,+,714
YMR135C,XIII,538689,540056,-,1368
YMR135W-A,XIII,539911,540444,+,534
YMR136W,XIII,541199,542881,+,1683
YMR137C,XIII,542978,544963,-,1986
YMR138W,XIII,545155,545730,+,576
YMR139W,XIII,546125,547237,+,1113
YMR140W,XIII,547714,549183,+,1470
YMR141C,XIII,549736,550044,-,309
YMR142C,XIII;XIII,550206;551204,550801;551207,-;-,600
YMR141W-A,XIII,550911,551135,+,225
YMR143W,XIII;XIII,551928;552496,551951;552903,+;+,432
YMR144W,XIII,553362,554390,+,1029
YMR145C,XIII,554793,556475,-,1683
YMR146C,XIII,557481,558524,-,1044
YMR147W,XIII,559199,559870,+,672
YMR148W,XIII,560366,560812,+,447
YMR149W,XIII,560996,561856,+,861
YMR150C,XIII,561956,562528,-,573
YMR151W,XIII,562506,562943,+,438
YMR152W,XIII,563096,564193,+,1098
YMR153W,XIII,564435,565862,+,1428
YMR153C-A,XIII,565574,565909,-,336
YMR154C,XIII,565999,568182,-,2184
YMR155W,XIII,568551,570194,+,1644
YMR156C,XIII,570300,571016,-,717
YMR157C,XIII,571277,572044,-,768
YMR158W,XIII,572248,572715,+,468
tM(CAU)M,XIII,572883,572955,-,73
YMR158C-A,XIII,573194,573331,-,138
YMR158W-B,XIII,574471,574791,+,321
YMR159C,XIII,574476,574928,-,453
YMR160W,XIII,575066,577516,+,2451
YMR161W,XIII,577718,578392,+,675
YMR162C,XIII,578951,583921,-,4971
YMR163C,XIII,584271,586388,-,2118
tV(AAC)M3,XIII,586636,586709,-,74
YMR164C,XIII,587274,589550,-,2277
YMR165C,XIII,590040,592628,-,2589
YMR166C,XIII,593367,594473,-,1107
YMR167W,XIII,594886,597195,+,2310
YMR168C,XIII,597332,599158,-,1827
YMR169C,XIII,599352,600872,-,1521
YMR170C,XIII,601562,603082,-,1521
YMR171C,XIII,603868,605520,-,1653
YMR172W,XIII,605981,608140,+,2160
YMR172C-A,XIII,607828,608211,-,384
YMR173W,XIII,608689,609981,+,1293
YMR173W-A,XIII,608897,610081,+,1185
YMR174C,XIII,610159,610365,-,207
YMR175W,XIII,611016,611255,+,240
YMR175W-A,XIII,611314,611508,+,195
YMR176W,XIII,611740,615975,+,4236
YMR177W,XIII,616566,618098,+,1533
YMR178W,XIII,618479,619303,+,825
YMR179W,XIII,619858,622134,+,2277
YMR180C,XIII,622251,623213,-,963
YMR181C,XIII,623616,624080,-,465
YMR182C,XIII,624532,625167,-,636
YMR182W-A,XIII,625811,625897,+,87
snR83,XIII,626349,626654,+,306
YMR183C,XIII,626921,627808,-,888
YMR184W,XIII,628189,628785,+,597
YMR185W,XIII,629025,631970,+,2946
YMR186W,XIII,632355,634472,+,2118
YMR187C,XIII,634689,635984,-,1296
YMR188C,XIII,636291,637004,-,714
YMR189W,XIII,637500,640604,+,3105
YMR190C,XIII,640915,645258,-,4344
YMR191W,XIII,645656,646777,+,1122
YMR192W,XIII,647118,649280,+,2163
YMR193W,XIII,650036,650812,+,777
YMR193C-A,XIII,651072,651458,-,387
YMR194W,XIII;XIII,651145;651624,651160;651910,+;+,303
snR11,XIII,652275,652532,+,258
YMR194C-B,XIII;XIII,652594;652848,652775;652887,-;-,222
YMR194C-A,XIII,652912,653136,-,225
YMR195W,XIII,654034,654417,+,384
YMR196W,XIII,655076,658342,+,3267
YMR197C,XIII,658545,659198,-,654
YMR198W,XIII,659745,661529,+,1785
YMR199W,XIII,662644,664284,+,1641
YMR200W,XIII,664752,665522,+,771
YMR201C,XIII;XIII,665845;667018,666933;667044,-;-,1116
RNA170,XIII,667288,667456,-,169
YMR202W,XIII,667537,668205,+,669
YMR203W,XIII,668492,669655,+,1164
YMR204C,XIII,670063,671325,-,1263
YMR205C,XIII,671887,674766,-,2880
YMR206W,XIII,675896,676837,+,942
YMR207C,XIII,677193,683564,-,6372
YMR208W,XIII,684467,685798,+,1332
YMR209C,XIII,685911,687284,-,1374
YMR210W,XIII,687516,688865,+,1350
YMR211W,XIII,689083,690510,+,1428
YMR212C,XIII,690695,693043,-,2349
YMR213W,XIII,693381,695153,+,1773
YMR214W,XIII,695350,696483,+,1134
YMR215W,XIII,696796,698370,+,1575
YMR216C,XIII,698811,701039,-,2229
YMR217W,XIII,701790,703367,+,1578
YMR218C,XIII,703579,706887,-,3309
YMR219W,XIII,707133,712109,+,4977
YMR220W,XIII,712316,713671,+,1356
YMR221C,XIII,713931,715445,-,1515
YMR222C,XIII,715638,716309,-,672
YMR223W,XIII,716715,718130,+,1416
YMR224C,XIII,718575,720653,-,2079
YMR225C,XIII;XIII,720960;721346,721198;721403,-;-,297
YMR226C,XIII,721593,722396,-,804
YMR227C,XIII,722613,724385,-,1773
YMR228W,XIII,724626,725651,+,1026
YMR229C,XIII,725934,731123,-,5190
YMR230W,XIII;XIII,732414;732876,732465;733141,+;+,318
YMR230W-A,XIII,733268,733456,+,189
YMR231W,XIII,733545,736634,+,3090
YMR232W,XIII,736926,738959,+,2034
YMR233W,XIII,739185,739865,+,681
YMR234W,XIII,740266,741312,+,1047
YMR235C,XIII,741512,742735,-,1224
YMR236W,XIII,742971,743444,+,474
YMR237W,XIII,743749,745923,+,2175
YMR238W,XIII,746353,747729,+,1377
tR(UCU)M1,XIII,747892,747963,-,72
YMR239C,XIII,748262,749677,-,1416
YMR240C,XIII,749930,751240,-,1311
YMR241W,XIII,751961,752905,+,945
YMR242C,XIII;XIII,753225;754220,753742;754220,-;-,519
YMR242W-A,XIII,754297,754386,+,90
YMR243C,XIII,754838,756166,-,1329
YMR244W,XIII,757250,758317,+,1068
YMR244C-A,XIII,758517,758831,-,315
YMR245W,XIII,758563,759183,+,621
YMR246W,XIII,759807,761891,+,2085
snR86,XIII,762110,763113,-,1004
YMR247C,XIII,763351,768039,-,4689
tA(AGC)M2,XIII,768369,768441,-,73
YMR247W-A,XIII,769283,769426,+,144
YMR250W,XIII,770801,772558,+,1758
YMR251W,XIII,772915,774015,+,1101
YMR251W-A,XIII,774752,774931,+,180
YMR252C,XIII,775315,775719,-,405
YMR253C,XIII,775946,777190,-,1245
YMR254C,XIII,777615,777923,-,309
YMR255W,XIII,778001,778567,+,567
YMR256C,XIII,778945,779127,-,183
YMR257C,XIII,779629,782031,-,2403
YMR258C,XIII,782620,784281,-,1662
YMR259C,XIII,784621,788883,-,4263
YMR260C,XIII,789378,789839,-,462
YMR261C,XIII,790205,793369,-,3165
YMR262W,XIII,793726,794667,+,942
YMR263W,XIII,794919,795524,+,606
YMR264W,XIII,795805,796416,+,612
YMR265C,XIII,796540,797925,-,1386
YMR266W,XIII,798518,801379,+,2862
YMR267W,XIII,801772,802704,+,933
YMR268C,XIII,802888,804222,-,1335
YMR269W,XIII,804456,805091,+,636
YMR270C,XIII,805326,806423,-,1098
YMR271C,XIII,806865,807548,-,684
tQ(CUG)M,XIII,808246,808317,-,72
YMR272C,XIII,809623,810777,-,1155
YMR272W-A,XIII,810466,810579,+,114
YMR272W-B,XIII,811089,811196,+,108
YMR273C,XIII,811233,813980,-,2748
YMR274C,XIII,814364,815311,-,948
YMR275C,XIII,815651,818581,-,2931
YMR276W,XIII,818827,819948,+,1122
YMR277W,XIII,820256,822454,+,2199
YMR278W,XIII,822763,824631,+,1869
YMR279C,XIII,824729,826351,-,1623
YMR280C,XIII,827028,831329,-,4302
YMR281W,XIII,832339,833253,+,915
YMR282C,XIII,833356,835098,-,1743
YMR283C,XIII,835326,836867,-,1542
tY(GUA)M2,XIII;XIII,837928;837981,837966;838016,+;+,75
YMR284W,XIII,838187,839995,+,1809
YMR285C,XIII,840144,841691,-,1548
YMR286W,XIII,841942,842202,+,261
YMR287C,XIII,842436,845345,-,2910
YMR288W,XIII,845571,848486,+,2916
YMR289W,XIII,848685,849809,+,1125
YMR290C,XIII,850074,851591,-,1518
YMR290W-A,XIII,851422,851769,+,348
YMR291W,XIII,852630,854390,+,1761
YMR292W,XIII;XIII,854795;854899,854816;855293,+;+,417
YMR293C,XIII,855399,856793,-,1395
YMR294W,XIII,856966,858087,+,1122
YMR294W-A,XIII,858209,858568,+,360
YMR295C,XIII,858297,858890,-,594
YMR296C,XIII,859215,860891,-,1677
YMR297W,XIII,861922,863520,+,1599
YMR298W,XIII,863819,864271,+,453
YMR299C,XIII,864412,865350,-,939
YMR300C,XIII,865559,867091,-,1533
YMR301C,XIII,867555,869627,-,2073
YMR302C,XIII,870073,872625,-,2553
YMR303C,XIII,873291,874337,-,1047
YMR304W,XIII,874987,878679,+,3693
YMR304C-A,XIII,878780,879130,-,351
YMR305C,XIII,879063,880232,-,1170
YMR306W,XIII,881159,886516,+,5358
YMR306C-A,XIII,886183,886572,-,390
YMR307W,XIII,887003,888682,+,1680
YMR307C-A,XIII,887731,887925,-,195
YMR308C,XIII,888952,892221,-,3270
YMR309C,XIII,892988,895426,-,2439
YMR310C,XIII,895716,896669,-,954
YMR311C,XIII,896914,897603,-,690
YMR312W,XIII,898405,899226,+,822
YMR313C,XIII,899379,901307,-,1929
YMR314W,XIII,901709,902413,+,705
YMR315W,XIII,902800,903849,+,1050
YMR315W-A,XIII,904286,904393,+,108
YMR316W,XIII,904825,905835,+,1011
YMR316C-A,XIII,905662,905973,-,312
YMR316C-B,XIII,907321,907629,-,309
YMR317W,XIII,907364,910786,+,3423
YMR318C,XIII,911061,912143,-,1083
YMR319C,XIII,912880,914538,-,1659
YMR320W,XIII,916746,917051,+,306
YMR321C,XIII,917579,917896,-,318
YMR322C,XIII,918366,919079,-,714
YMR323W,XIII,920088,921401,+,1314
YMR324C,XIII,922202,922444,-,243
YMR325W,XIII,922641,923015,+,375
YMR326C,XIII,923494,923802,-,309
YBL113C,II,280,2658,-,2379
YBL113W-A,II,646,1128,+,483
YBL112C,II,2582,2899,-,318
YBL111C,II;II,2907;4216,4116;5009,-;-,2004
YBL109W,II,5790,6125,+,336
YBL108C-A,II,7605,7733,-,129
YBL108W,II,8177,8482,+,306
YBL107W-A,II,9268,9372,+,105
tL(UAA)B1,II,9583,9666,+,84
YBL107C,II,9961,10551,-,591
YBL106C,II,10847,13879,-,3033
YBL105C,II,14241,17696,-,3456
YBL104C,II,18177,21293,-,3117
YBL103C,II,22076,23536,-,1461
YBL102W,II,24098,24745,+,648
YBL101C,II,24946,28299,-,3354
YBL100W-C,II,28427,28546,+,120
YBL100W-B,II;II,29935;31229,31227;35248,+;+,5313
YBL100W-A,II,29935,31251,+,1317
tF(GAA)B,II;II,36398;36453,36434;36488,+;+,73
YBL100C,II,36989,37303,-,315
YBL099W,II,37053,38690,+,1638
YBL098W,II,39145,40527,+,1383
YBL097W,II,40831,43095,+,2265
YBL096C,II,43174,43482,-,309
YBL095W,II,43277,44089,+,813
YBL094C,II,43765,44097,-,333
YBL093C,II,44256,44918,-,663
YBL092W,II,45978,46370,+,393
YBL091C-A,II;II,46565;47147,47058;47180,-;-,528
YBL091C,II,47363,48628,-,1266
YBL090W,II,48825,49358,+,534
YBL089W,II,49574,50953,+,1380
YBL088C,II,51019,59382,-,8364
YBL087C,II;II,59822;60698,60193;60739,-;-,414
YBL086C,II,61202,62602,-,1401
YBL085W,II,63876,66818,+,2943
YBL084C,II,67169,69445,-,2277
YBL083C,II,69713,70138,-,426
YBL082C,II,69751,71127,-,1377
YBL081W,II,71866,72972,+,1107
YBL080C,II,73070,74695,-,1626
YBL079W,II,75259,79767,+,4509
YBL078C,II,80378,80731,-,354
YBL077W,II,80897,81328,+,432
YBL076C,II,81043,84261,-,3219
YBL075C,II,84499,86448,-,1950
YBL074C,II,86722,87789,-,1068
YBL073W,II,87646,87957,+,312
snR56,II,88190,88277,+,88
YBL072C,II,88523,89125,-,603
YBL071C-B,II,89458,89556,-,99
YBL071W-A,II,89978,90226,+,249
YBL071C,II,90223,90531,-,309
YBL070C,II,90605,90925,-,321
YBL069W,II,90741,92030,+,1290
YBL068W-A,II,91794,92030,+,237
YBL068W,II,92414,93394,+,981
YBL067C,II,93639,95882,-,2244
YBL066C,II,96669,100115,-,3447
YBL065W,II,99963,100307,+,345
YBL064C,II,100371,101156,-,786
YBL063W,II,101886,105221,+,3336
YBL062W,II,105308,105688,+,381
YBL061C,II,105316,107406,-,2091
YBL060W,II,107932,109995,+,2064
YBL059C-A,II;II,110125;110506,110420;110539,-;-,330
YBL059W,II;II,110594;110949,110879;111244,+;+,582
YBL058W,II,111437,112708,+,1272
YBL057C,II,112801,113427,-,627
YBL056W,II,113762,115168,+,1407
YBL055C,II,115573,116829,-,1257
YBL054W,II,117589,119166,+,1578
YBL053W,II,119335,119709,+,375
YBL052C,II,119379,121874,-,2496
YBL051C,II,122753,124759,-,2007
YBL050W,II;II,125125;125271,125154;126119,+;+,879
YBL049W,II,126828,127244,+,417
YBL048W,II,127299,127610,+,312
YBL047C,II,127895,132040,-,4146
YBL046W,II,132424,133749,+,1326
YBL045C,II,134143,135516,-,1374
YBL044W,II,135998,136366,+,369
YBL043W,II,136688,137461,+,774
YBL042C,II,138341,140260,-,1920
YBL041W,II,141247,141972,+,726
YBL040C,II;II,142112;142847,142749;142868,-;-,660
YBL039W-B,II,143393,143572,+,180
YBL039C,II,143989,145728,-,1740
YBL039C-A,II,144948,145031,-,84
YBL038W,II,146187,146885,+,699
YBL037W,II,147209,150286,+,3078
YBL036C,II,150447,151220,-,774
YBL035C,II,151493,153610,-,2118
YBL034C,II,153848,158389,-,4542
YBL033C,II,158656,159693,-,1038
YBL032W,II,160184,161329,+,1146
YBL031W,II,161699,162715,+,1017
YBL030C,II,163041,163997,-,957
YBL029C-A,II,164488,164772,-,285
YBL029W,II,166134,167264,+,1131
YBL028C,II,167518,167838,-,321
YBL027W,II;II,168423;168809,168424;169376,+;+,570
YBL026W,II;II,170623;170805,170676;171038,+;+,288
YBL025W,II,171481,171918,+,438
YBL024W,II,172534,174588,+,2055
YBL023C,II,174920,177526,-,2607
YBL022C,II,177874,181275,-,3402
YBL021C,II,181660,182094,-,435
YBL020W,II,182401,184125,+,1725
YBL019W,II,184353,185915,+,1563
YBL018C,II;II,185998;186428,186352;186474,-;-,402
YBL017C,II,186844,191583,-,4740
YBL016W,II,192451,193512,+,1062
YBL015W,II,194122,195702,+,1581
tI(AAU)B,II,197494,197567,+,74
tG(GCC)B,II,197629,197699,-,71
YBL014C,II,199064,201748,-,2685
YBL013W,II,202056,203261,+,1206
YBL012C,II,203406,203807,-,402
YBL011W,II,203538,205817,+,2280
YBL010C,II,206107,206949,-,843
YBL009W,II,207194,209224,+,2031
YBL008W-A,II,209409,209648,+,240
YBL008W,II,209653,212175,+,2523
YBL007C,II,212632,216366,-,3735
YBL006C,II,216587,217129,-,543
YBL006W-A,II,216711,216860,+,150
YBL005W,II,217470,220400,+,2931
YBL005W-A,II,221330,222652,+,1323
YBL005W-B,II;II,221330;222636,222634;226598,+;+,5268
tS(AGA)B,II,227075,227156,+,82
YBL004W,II,227636,235117,+,7482
YBL003C,II,235394,235792,-,399
YBL002W,II,236492,236887,+,396
YBL001C,II,237153,237467,-,315
YBR001C,II,238941,241283,-,2343
YBR002C,II,241708,242568,-,861
YBR003W,II,242809,244230,+,1422
YBR004C,II,244366,245667,-,1302
YBR005W,II,245906,246547,+,642
YBR006W,II,247010,248503,+,1494
YBR007C,II,248806,251016,-,2211
YBR008C,II,252563,254209,-,1647
YBR009C,II,255373,255684,-,312
YBR010W,II,256331,256741,+,411
YBR011C,II,257112,257975,-,864
YBR012C,II,259147,259566,-,420
YBR012W-A,II,259869,261191,+,1323
YBR012W-B,II;II,259869;261175,261173;265140,+;+,5271
YBR013C,II,265492,265881,-,390
tT(AGU)B,II,266378,266450,+,73
YBR014C,II,266725,267336,-,612
YBR015C,II,267710,269503,-,1794
YBR016W,II,270247,270633,+,387
YBR017C,II,270947,273703,-,2757
YBR018C,II,274427,275527,-,1101
YBR019C,II,276253,278352,-,2100
YBR020W,II,279021,280607,+,1587
YBR021W,II,281443,283344,+,1902
YBR022W,II,283738,284271,+,534
YBR023C,II,284428,287925,-,3498
YBR024W,II,289445,290350,+,906
YBR025C,II,290681,291865,-,1185
YBR026C,II,292877,294019,-,1143
YBR027C,II,294024,294356,-,333
YBR028C,II,294425,296002,-,1578
YBR029C,II,296369,297742,-,1374
YBR030W,II,298292,299950,+,1659
YBR031W,II,300166,301254,+,1089
YBR032W,II,301519,301821,+,303
YBR033W,II,301944,304703,+,2760
YBR034C,II,304930,305976,-,1047
YBR035C,II,306269,306955,-,687
snR161,II,307185,307345,-,161
TLC1,II,307587,308887,+,1301
YBR036C,II,309081,310313,-,1233
YBR037C,II,310565,311452,-,888
YBR038W,II,311898,314789,+,2892
YBR039W,II,315575,316510,+,936
YBR040W,II,316968,317864,+,897
YBR041W,II,318266,320275,+,2010
YBR042C,II,320416,321609,-,1194
YBR043C,II,321876,323945,-,2070
YBR044C,II,324341,326059,-,1719
tV(UAC)B,II,326792,326865,-,74
YBR045C,II,328173,330092,-,1920
YBR046C,II,330507,331511,-,1005
YBR047W,II,331833,332360,+,528
YBR048W,II;II,332831;333387,332875;333812,+;+,471
YBR049C,II,334386,336818,-,2433
YBR050C,II,337183,338199,-,1017
YBR051W,II,337988,338338,+,351
YBR052C,II,338720,339352,-,633
YBR053C,II,339675,340751,-,1077
YBR054W,II,343101,344135,+,1035
YBR055C,II,344602,347301,-,2700
tL(UAA)B2,II,347603,347686,+,84
YBR056W,II,347879,349384,+,1506
tQ(UUG)B,II,350827,350898,+,72
YBR056W-A,II,351255,351455,+,201
YBR056C-B,II,351293,351451,-,159
YBR057C,II,352193,353293,-,1101
YBR058C,II,353672,356017,-,2346
YBR058C-A,II,356324,356566,-,243
YBR059C,II,356861,360187,-,3327
YBR060C,II,360652,362514,-,1863
YBR061C,II,364787,365719,-,933
YBR062C,II;II,365976;366585,366502;366600,-;-,543
YBR063C,II,366970,368184,-,1215
YBR064W,II,367763,368191,+,429
YBR065C,II,368584,369678,-,1095
YBR066C,II,370037,370699,-,663
YBR067C,II,372103,372735,-,633
YBR068C,II,373861,375690,-,1830
YBR069C,II,376574,378433,-,1860
YBR070C,II,379221,379934,-,714
YBR071W,II,380411,381046,+,636
YBR072W,II,382030,382674,+,645
YBR072C-A,II,382860,383021,-,162
YBR073W,II,383112,385988,+,2877
YBR074W,II,386286,389216,+,2931
YBR076W,II,390227,391291,+,1065
YBR076C-A,II,391351,391617,-,267
YBR077C,II,391805,392293,-,489
YBR078W,II;II,393123;393511,393180;394742,+;+,1290
YBR079C,II,395383,398277,-,2895
YBR080C,II,398614,400890,-,2277
YBR081C,II,401253,405251,-,3999
tR(UCU)B,II,405878,405949,+,72
tD(GUC)B,II,405960,406031,+,72
YBR082C,II;II,406628;407123,407027;407169,-;-,447
YBR083W,II,409169,410629,+,1461
YBR084W,II,411054,413981,+,2928
YBR084C-A,II;II,414186;415260,414753;415261,-;-,570
YBR085W,II,415983,416906,+,924
YBR085C-A,II,418907,419164,-,258
YBR086C,II,420201,423041,-,2841
YBR087W,II,423765,424829,+,1065
YBR088C,II,424990,425766,-,777
YBR089W,II,425183,425782,+,600
YBR089C-A,II,426190,426489,-,300
YBR090C,II;II,426333;426874,426516;427058,-;-,369
YBR091C,II,427155,427484,-,330
YBR092C,II,427698,429101,-,1404
YBR093C,II,429548,430951,-,1404
YBR094W,II,432036,434297,+,2262
YBR095C,II,434406,435698,-,1293
YBR096W,II,436021,436713,+,693
YBR097W,II,436951,441315,+,4365
YBR098W,II,441515,443590,+,2076
YBR099C,II,442924,443307,-,384
YBR101C,II,443821,444693,-,873
YBR102C,II,445062,447323,-,2262
YBR103W,II,447709,449316,+,1608
YBR103C-A,II,449320,449463,-,144
YBR104W,II,449667,450656,+,990
YBR105C,II,450881,451969,-,1089
YBR106W,II,452658,453224,+,567
YBR107C,II,453793,454530,-,738
YBR108W,II,454822,457665,+,2844
YBR109C,II,457919,458362,-,444
YBR109W-A,II,458608,458832,+,225
YBR110W,II,458872,460221,+,1350
YBR111C,II,461178,461873,-,696
YBR111W-A,II;II;II,462139;462290;462500,462209;462429;462579,+;+;+,291
YBR112C,II,462870,465770,-,2901
YBR113W,II,465566,466048,+,483
YBR114W,II,467248,469620,+,2373
YBR115C,II,469748,473926,-,4179
YBR116C,II,474199,474726,-,528
YBR117C,II,474392,476437,-,2046
YBR118W,II,477671,479047,+,1377
YBR119W,II;II,479338;479435,479345;480323,+;+,897
YBR120C,II,480435,480923,-,489
YBR121C,II,481364,483367,-,2004
YBR121C-A,II,482326,482484,-,159
YBR122C,II,483970,484503,-,534
YBR123C,II,484742,486691,-,1950
YBR124W,II,486507,486866,+,360
YBR125C,II,487199,488380,-,1182
YBR126C,II,488905,490392,-,1488
YBR126W-A,II,490850,491056,+,207
YBR126W-B,II,490927,491070,+,144
YBR127C,II,491269,492822,-,1554
YBR128C,II,493081,494115,-,1035
YBR129C,II,494353,495339,-,987
YBR130C,II,495592,496869,-,1278
YBR131W,II,497163,499277,+,2115
YBR131C-A,II,497650,497739,-,90
YBR132C,II,499652,501442,-,1791
YBR133C,II,501804,504287,-,2484
YBR134W,II,504243,504644,+,402
YBR135W,II,504854,505306,+,453
YBR136W,II,505668,512774,+,7107
YBR137W,II,513044,513583,+,540
YBR138C,II,513762,515336,-,1575
YBR139W,II,515664,517190,+,1527
YBR140C,II,517350,526628,-,9279
YBR141C,II,527025,528038,-,1014
YBR141W-A,II,527167,527262,+,96
YBR142W,II,528317,530638,+,2322
YBR143C,II,530869,532182,-,1314
YBR144C,II,533235,533549,-,315
YBR145W,II,533762,534817,+,1056
YBR146W,II,535260,536096,+,837
YBR147W,II,536575,537465,+,891
YBR148W,II,537876,539705,+,1830
YBR149W,II,539987,541021,+,1035
YBR150C,II,541209,544493,-,3285
YBR151W,II,545028,545978,+,951
YBR152W,II,546376,547251,+,876
YBR153W,II,547460,548194,+,735
YBR154C,II,548362,549009,-,648
YBR155W,II,549771,550928,+,1158
YBR156C,II,551104,553200,-,2097
YBR157C,II,553543,554310,-,768
YBR158W,II,556549,558198,+,1650
YBR159W,II,558685,559728,+,1044
YBR160W,II,560078,560974,+,897
YBR161W,II,561634,562764,+,1131
YBR162C,II,563203,564570,-,1368
YBR162W-A,II,565231,565428,+,198
YBR163W,II,565723,567480,+,1758
YBR164C,II,567875,568426,-,552
YBR165W,II,568852,569685,+,834
YBR166C,II,569842,571200,-,1359
YBR167C,II,571468,571890,-,423
YBR168W,II,572371,573612,+,1242
YBR169C,II,573915,575996,-,2082
YBR170C,II,576344,578086,-,1743
YBR171W,II,578364,578984,+,621
YBR172C,II,579150,581372,-,2223
YBR173C,II,581726,582172,-,447
YBR174C,II,582338,582652,-,315
YBR175W,II,582408,583355,+,948
YBR176W,II,583720,584658,+,939
YBR177C,II,584807,586162,-,1356
YBR178W,II,586071,586445,+,375
YBR179C,II,586547,589114,-,2568
YBR180W,II,589741,591459,+,1719
YBR181C,II;II,591712;592769,592416;592774,-;-,711
YBR182C,II,593506,594864,-,1359
YBR182C-A,II,595361,595555,-,195
YBR183W,II,596115,597065,+,951
YBR184W,II,597363,598934,+,1572
YBR185C,II,599123,599959,-,837
YBR186W,II;II,600553;602217,602103;602360,+;+,1695
YBR187W,II,602634,603476,+,843
YBR188C,II,603685,604107,-,423
YBR189W,II;II,604508;604928,604514;605508,+;+,588
YBR190W,II,605966,606277,+,312
YBR191W,II;II,606270;606669,606280;607140,+;+,483
YBR191W-A,II,607149,607223,+,75
